tconst,primaryTitle,title,region,actor1,actor2,actor3,actor4,actor5,actress1,actress2,actress3,actress4,actress5,director1,director2,writer1,writer2,writer3,originalTitle,genre1,genre2,genre3,original_title,original_language,overview,origin_country,poster_path,tmdb_id
tt4698684,Hunt for the Wilderpeople,À la poursuite de Ricky Baker,FR,Julian Dennison,,,,,Rima Te Wiata,Rachel House,,,,Taika Waititi,,Barry Crump,Tearepa Kahi,,Hunt for the Wilderpeople,Adventure,Comedy,Drama,Hunt for the Wilderpeople,en,"Elevé dans une famille d'accueil un enfant difficile de la ville va vivre un nouveau départ dans la campagne Néo-Zélandaise. Il se retrouve chez une famille d'accueil aimante, quand une tragédie survient le jeune garçon et Hec, l'oncle de sa nouvelle famille, s'enfuient dans le Bush. Ces nouveaux hors-la-loi vont devoir faire équipe...",NZ,https://image.tmdb.org/t/p/w600_and_h900_bestv2/nioLWo7S3Lu1udSPLF0RmxCJPjc.jpg,371645.0
tt2388715,Oculus,The Mirror,FR,Rory Cochrane,,,,,Karen Gillan,Katee Sackhoff,,,,Mike Flanagan,,Jeff Howard,Jeff Seidman,,Oculus,Horror,Mystery,,Oculus,en,"Au bout de 11 années, Tim est autorisé à quitter l'hôpital psychiatrique. Le jeune homme de 21 ans ne rêve que de faire un trait sur son passé et de reprendre une existence normale. Sa soeur aînée Kaylie le replonge pourtant dans ses souvenirs, le ramenant à la demeure familiale où il s'est produit une tragédie entre maman et papa. Kaylie est convaincue qu'un vieux miroir est responsable de ce cauchemar et elle tente de le prouver en posant des caméras dans la maison. Rapidement, le frère et la soeur commencent à halluciner, étant incapable de séparer le vrai du faux.",,https://image.tmdb.org/t/p/w600_and_h900_bestv2/yCzR1yKRLiJyTDLgY1ppazXEmdE.jpg,157547.0
tt4786282,Lights Out,Dans le noir,FR,Billy Burke,,,,,Teresa Palmer,Maria Bello,,,,David F. Sandberg,,Eric Heisserer,,,Lights Out,Horror,Mystery,,Lights Out,en,"Petite, Rebecca a toujours eu peur du noir. Mais quand elle est partie de chez elle, elle pensait avoir surmonté ses terreurs enfantines. Désormais, c'est au tour de son petit frère Martin d'être victime des mêmes phénomènes surnaturels qui ont failli lui faire perdre la raison. Car une créature terrifiante, mystérieusement liée à leur mère Sophie, rôde de nouveau dans la maison familiale. Cherchant à découvrir la vérité, Rebecca comprend que le danger est imminent… Surtout dans le noir.",US,https://image.tmdb.org/t/p/w600_and_h900_bestv2/yBwS7Z1VdnhPGjHgyOIf60XUkUY.jpg,345911.0
tt0449010,Eragon,Eragon,FR,Jeremy Irons,John Malkovich,,,,Sienna Guillory,,,,,Stefen Fangmeier,,Peter Buchman,Christopher Paolini,,Eragon,Action,Adventure,Family,Eragon,en,"Autrefois, la paix et la prospérité régnaient en terre d'Alagaësia. Les Dragons avaient alors fait don à leurs Dragonniers de pouvoirs magiques, et même de l'immortalité. Aucun ennemi ne pouvait les vaincre... jusqu'à ce que l'un des leurs, Galbatorix, décide de trahir pour s'approprier tous ces pouvoirs et en jouir seul en détruisant tous les autres Dragonniers. Un jeune homme, Eragon, découvre un oeuf étrange aux lueurs bleues, qui donne naissance à un Dragon femelle. Il le baptise Saphira. Le temps des Dragonniers est revenu... Avec l'aide de son mentor, Brom, Eragon va découvrir quel est son vrai destin. Lui seul peut faire renaître l'âge d'or de la justice, il est l'unique espoir du peuple d'Alagaësia, mais pour cela il va devoir affronter Galbatorix et vivre la plus fabuleuse des sagas...",US,https://image.tmdb.org/t/p/w600_and_h900_bestv2/dHzHRTyuEpJbzGRtFoRY7vOnZj8.jpg,2486.0
tt1692486,Carnage,Carnage,FR,John C. Reilly,,,,,Jodie Foster,Kate Winslet,,,,Roman Polanski,,Yasmina Reza,Michael Katims,,Carnage,Comedy,Drama,,Carnage,en,"Deux enfants d’une dizaine d’années se bagarrent pour une broutille. Pour tenter d’apaiser la situation, leurs parents respectifs décident de se rencontrer. Autour d’une tasse de café, ils évoquent la cause de la dispute et la meilleure façon de l’apaiser. Contre toute attente, le ton monte peu à peu entre les quatre adultes. A l’instar de leurs rejetons, ils finissent par se prendre sérieusement en grippe. Le carnage, qu’ils ont tenté d’éviter entre leurs enfants, menace bientôt leur réunion policée, au cours de laquelle sont violemment remis en question le couple, la famille et la société tout entière…",FR,https://image.tmdb.org/t/p/w600_and_h900_bestv2/btZJA0odLD3qvILTLQgEsG59RVg.jpg,72113.0
tt0467197,Max Payne,Max Payne,FR,Beau Bridges,Ludacris,,,,Mila Kunis,,,,,John Moore,,Beau Thorne,Sam Lake,,Max Payne,Action,Adventure,Crime,Max Payne,en,"Max Payne est un flic déterminé à retrouver ceux qui ont brutalement assassiné sa famille et son partenaire. Obsédé par sa quête de vengeance, il laisse son enquête l'entrainer dans un voyage cauchemardesque dans les bas-fonds de l'underground new-yorkais. Tandis que le mystère s'épaissit, Max va devoir affronter de puissants ennemis mais aussi ses propres démons.",US,https://image.tmdb.org/t/p/w600_and_h900_bestv2/zF8ZhnoFcRZ5caj5vLUDKtHqT1z.jpg,13051.0
tt0063350,Night of the Living Dead,La Nuit des morts-vivants,FR,Karl Hardman,Keith Wayne,,,,Kyra Schon,Judith O'Dea,Marilyn Eastman,Judith Ridley,,George A. Romero,,John A. Russo,,,Night of the Living Dead,Horror,Thriller,,Night of the Living Dead,en,"Chaque année, Barbara et Johnny vont fleurir la tombe de leur père. La route est longue, les environs du cimetière déserts. Peu enclin à prier, Johnny se souvient du temps où il était enfant et où il s'amusait à effrayer sa soeur en répétant d'une voix grave : ""Ils arrivent pour te chercher, Barbara.""La nuit tombe. Soudain, un homme étrange apparaît. Il s'approche de Barbara puis attaque Johnny, qui tombe et est laissé pour mort. Terrorisée, Barbara s'enfuit et se réfugie dans une maison de campagne. Elle y trouve Ben, ainsi que d'autres fugitifs. La radio leur apprend alors la terrible nouvelle : des morts s'attaquent aux vivants.",,https://image.tmdb.org/t/p/w600_and_h900_bestv2/yZRti46opmXsW298cUqOZAD58xd.jpg,10331.0
tt1588170,I Saw the Devil,J'ai rencontré le diable,FR,Choi Min-sik,Jeon Gook-hwan,Ho-jin Chun,,,,,,,,Jee-woon Kim,,Park Hoon-jung,,,Ang-ma-reul bo-at-da,Action,Crime,Drama,악마를 보았다,ko,"Kyung-chul est un dangereux psychopathe qui tue pour le plaisir. Il commet des meurtres en série de manière que l’on ne peut même pas imaginer. Ses victimes sont aussi bien des femmes que des enfants. La police le traque depuis un long moment, mais est incapable de l’attraper. Un jour, Joo-yeon, la fille d’un Chef de police à la retraite devient sa proie et est retrouvé morte atrocement mutilée. Son fiancé Dae-hoon, un agent secret, décide de traquer le meurtrier lui-même. Il promet de tout faire pour se venger, même si cela signifie qu’il doit devenir un monstre lui-même.",,https://image.tmdb.org/t/p/w600_and_h900_bestv2/wE0j7sqbpOJwGviVjETfixJSS2s.jpg,49797.0
tt7395114,The Devil All the Time,"Le Diable, tout le temps",FR,Tom Holland,Michael Banks Repeta,Emilio Subercaseaux Campos,,,,,,,,Antonio Campos,,Paulo Campos,Donald Ray Pollock,,The Devil All the Time,Crime,Drama,Thriller,The Devil All the Time,en,"Knockemstiff, Ohio. Face à sa femme mourante, un homme désespéré, Willard Russell, tente le tout pour le tout. Il se tourne vers la religion. Ses prières vont petit à petit s'apparenter à des sacrifices dont Arvin, le fils du couple, pourrait être l'offrande ultime...",US,https://image.tmdb.org/t/p/w600_and_h900_bestv2/2yWgc9c7qz2KO8Uy0SotutbLgT4.jpg,499932.0
tt5022702,Hush,Pas un bruit,FR,Michael Trucco,,,,,Kate Siegel,Samantha Sloyan,,,,Mike Flanagan,,,,,Hush,Horror,Thriller,,Hush,en,Une écrivaine sourde qui s’est retirée au fond des bois pour vivre dans la solitude doit défendre sa vie en silence quand un tueur masqué apparaît à sa fenêtre.,US,https://image.tmdb.org/t/p/w600_and_h900_bestv2/tFAeTk5aDsGoltbd6HipnhESxq3.jpg,376570.0
